Y,X,VY,VX
-60,45,2.64001,-7.456213
-12,19.5,-12.23999,3.383786
-10.5,19.5,-11.45998,1.333787
-9,19.5,-9.919985,-0.3462134
-7.5,19.5,-9.749985,-1.096213
-6,19.5,-8.669985,-1.826213
-4.5,19.5,-6.599985,-1.996213
-3,19.5,-5.139985,-2.756213
-1.5,19.5,-4.179985,-2.326213
0,19.5,-4.059985,-1.016213
-60,18,-12.35999,-0.2562134
-58.5,18,-11.97999,-1.686213
-57,18,-10.83998,-2.036213
-55.5,18,-10.50998,-2.166213
-54,18,-10.77999,-2.816213
-52.5,18,-10.14999,-2.356213
-51,18,-9.319985,-2.676213
-49.5,18,-11.49998,-2.376213
-48,18,-12.38999,-1.416213
-46.5,18,-11.27999,-0.9262134
-45,18,-11.93999,0.4537866
-43.5,18,-11.56999,-0.3062134
-42,18,-11.29998,-0.6762134
-40.5,18,-11.27999,-0.7162133
-39,18,-11.12998,-1.496213
-37.5,18,-13.19999,-1.606213
-36,18,-14.08998,-1.976213
-34.5,18,-14.40998,-2.746213
-33,18,-12.83998,-3.716213
